,age,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_with_curr_manager,attrition
0,41,2,1102,2,1,2,1,1,2,0,94,3,2,7,4,2,19479,8,1,11,3,1,0,8,0,1,6,4,5,Yes
1,49,1,279,1,8,1,1,2,3,1,61,2,2,6,2,1,24907,1,0,23,4,4,1,10,3,3,10,7,7,No
2,37,2,1373,1,2,2,4,4,4,1,92,2,1,2,3,2,2396,6,1,15,3,2,0,7,3,3,0,0,0,Yes
3,33,1,1392,1,3,4,1,5,4,0,56,3,1,6,3,1,23159,1,1,11,3,3,0,8,3,3,8,7,0,No
4,27,2,591,1,2,1,3,7,1,1,40,3,1,2,2,1,16632,9,0,12,3,4,1,6,3,3,2,2,2,No
5,32,1,1005,1,2,2,1,8,4,1,79,3,1,2,4,2,11864,0,0,13,3,3,0,8,2,2,7,7,6,No
6,59,2,1324,1,3,3,3,10,3,0,81,4,1,2,1,1,9964,4,1,20,4,1,3,12,3,2,1,0,0,No
7,30,2,1358,1,24,1,1,11,4,1,67,3,1,2,3,0,13335,1,0,22,4,2,1,1,2,3,1,0,0,No
8,38,1,216,1,23,3,1,12,4,1,44,2,3,4,3,2,8787,0,0,21,4,2,0,10,2,3,9,7,8,No
9,36,2,1299,1,27,3,3,13,3,1,94,3,2,0,3,1,16577,6,0,13,3,2,2,17,3,2,7,7,7,No
10,35,2,809,1,16,3,3,14,1,1,84,4,1,2,2,1,16479,0,0,13,3,3,1,6,5,3,5,4,3,No
11,29,2,153,1,15,2,1,15,4,0,49,2,2,2,3,2,12682,0,1,12,3,4,0,10,3,3,9,5,8,No
12,31,2,670,1,26,1,1,16,1,1,31,3,1,6,3,0,15170,1,0,17,3,4,1,5,1,2,5,2,3,No
13,34,2,1346,1,19,2,3,18,2,1,93,3,1,2,4,0,8758,0,0,11,3,3,1,3,2,3,2,2,2,No
14,28,2,103,1,24,3,1,19,3,1,50,2,1,2,3,2,12947,5,1,14,3,2,0,6,4,3,4,2,3,Yes
15,29,2,1389,1,21,4,1,20,2,0,51,4,3,4,1,0,10195,1,0,11,3,3,1,10,1,3,10,9,8,No
16,32,2,334,1,5,2,1,21,1,1,80,4,1,6,2,0,15053,0,1,12,3,4,2,7,5,2,6,2,5,No
17,22,0,1123,1,16,2,3,22,4,1,96,4,1,2,4,0,7324,1,1,13,3,2,2,1,2,2,1,0,0,No
18,53,2,1219,2,2,4,1,23,1,0,78,2,4,3,4,1,22021,2,0,16,3,3,0,31,3,3,25,8,7,No
19,38,2,371,1,2,3,1,24,4,1,45,3,1,6,4,2,4306,5,1,11,3,3,0,6,3,3,3,2,2,No
20,24,0,673,1,11,2,4,26,1,0,96,4,2,4,3,0,8232,0,0,18,3,4,1,5,5,2,4,2,3,No
21,36,2,1218,2,9,4,1,27,3,1,82,2,1,8,1,2,6986,7,0,23,4,2,0,10,4,3,5,3,3,Yes
22,34,2,419,1,7,4,1,28,1,0,53,3,3,5,2,2,21293,0,0,11,3,3,0,13,4,3,12,6,11,No
23,21,2,391,1,15,2,1,30,3,1,96,3,1,6,4,2,19281,1,0,14,3,4,0,0,6,3,0,0,0,No
24,34,2,699,1,6,1,3,31,2,1,83,3,1,6,1,2,17102,2,0,11,3,3,0,8,2,3,4,2,3,Yes
25,53,2,1282,1,5,3,4,32,3,0,58,3,5,3,3,0,10735,4,0,11,3,4,1,26,3,2,14,13,8,No
26,32,1,1125,1,16,1,1,33,2,0,72,1,1,6,1,2,4681,1,1,22,4,2,0,10,5,3,10,2,7,Yes
27,42,2,691,2,8,4,2,35,3,1,48,3,2,7,2,1,21173,0,0,11,3,4,1,10,2,3,9,7,2,No
28,44,2,477,1,7,4,3,36,1,0,42,2,3,0,4,1,2094,3,0,14,3,4,1,24,4,3,22,6,17,No
29,46,2,705,2,2,4,2,38,2,0,83,3,5,3,1,2,22822,3,0,12,3,4,0,22,2,2,2,2,1,No
30,33,2,924,1,2,3,3,39,3,1,78,3,1,2,4,2,6670,4,0,11,3,4,0,7,3,3,1,1,0,No
31,44,2,1459,1,10,4,4,40,4,1,41,3,2,0,4,1,19121,2,1,13,3,4,0,9,5,4,4,2,3,No
32,30,2,125,1,9,2,3,41,4,1,83,2,1,2,3,2,16117,1,0,13,3,1,0,10,5,3,10,0,8,No
33,39,2,895,2,5,3,5,42,4,1,56,3,2,8,4,1,3335,3,0,14,3,3,1,19,6,4,1,0,0,Yes
34,24,2,813,1,1,3,3,45,2,1,61,3,1,6,4,1,3020,2,1,16,3,1,1,6,2,2,2,0,0,Yes
35,43,2,1273,1,2,2,3,46,4,0,72,4,1,6,3,0,21923,1,0,12,3,4,2,6,3,2,5,3,4,No
36,50,2,869,2,3,2,2,47,1,1,86,2,1,8,3,1,3810,1,1,14,3,3,0,3,2,3,3,2,2,Yes
37,35,2,890,2,2,3,2,49,4,0,97,3,1,8,4,1,9687,1,0,13,3,1,0,2,3,3,2,2,2,No
38,36,2,852,1,5,4,1,51,2,0,82,2,1,6,1,1,13072,9,1,14,3,4,1,6,3,4,1,1,0,No
39,33,1,1141,2,1,3,1,52,3,0,42,4,2,7,1,1,3193,2,0,19,3,1,2,10,3,3,5,3,3,No
40,35,2,464,1,4,2,4,53,3,1,75,3,1,2,4,0,10910,1,0,12,3,3,1,1,3,3,1,0,0,No
41,27,2,1240,1,2,4,1,54,4,0,33,3,1,2,1,0,19715,1,0,13,3,4,1,1,6,3,1,0,0,No
42,26,2,1357,1,25,3,1,55,1,1,48,1,1,2,3,2,10558,1,0,12,3,3,0,1,2,2,1,0,1,Yes
43,27,1,994,2,8,3,1,56,4,1,37,3,3,7,3,2,2975,1,0,15,3,4,0,9,0,3,9,8,7,No
44,30,1,721,1,1,2,3,57,3,0,58,3,2,2,4,2,10781,1,0,23,4,4,0,12,2,3,12,8,7,No
45,41,2,1360,1,12,3,5,58,2,0,49,3,5,5,3,1,16280,1,0,12,3,4,0,23,0,3,22,15,8,Yes
46,34,0,1065,2,23,4,2,60,2,1,72,3,2,7,3,2,10034,0,0,20,4,3,0,10,2,3,9,5,7,No
47,37,2,408,1,19,2,1,61,2,1,73,3,1,6,2,1,10227,4,0,21,4,1,0,8,1,3,1,0,0,No
48,46,1,1211,2,5,4,2,62,1,1,98,3,2,7,4,2,20445,4,1,21,4,3,0,14,4,3,9,6,8,No
49,35,2,1229,1,8,1,1,63,4,1,36,4,1,2,4,1,4892,1,0,19,3,4,0,1,2,3,1,0,1,No
50,48,2,626,1,1,2,1,64,1,1,98,2,3,2,3,2,19294,9,1,13,3,4,0,23,2,3,1,0,0,Yes
51,28,2,1434,1,5,4,5,65,3,1,50,3,1,2,3,2,11179,1,1,13,3,3,0,2,3,2,2,2,2,Yes
52,44,2,1488,2,1,5,2,68,2,0,75,3,2,7,1,0,4009,5,1,21,4,3,1,9,2,2,4,3,3,No
53,35,0,1097,1,11,2,3,70,3,1,79,2,3,0,1,1,8302,2,1,13,3,3,1,10,3,3,4,0,3,No
54,26,2,1443,2,23,3,2,72,3,0,47,2,2,7,4,1,21436,7,1,19,3,3,1,5,2,2,2,2,0,No
55,33,1,515,1,1,2,1,73,1,0,98,3,3,5,4,2,15146,1,1,12,3,3,0,15,1,3,15,14,12,No
56,35,1,853,2,18,5,1,74,2,1,71,3,3,7,1,1,11031,1,0,22,4,4,1,9,3,2,9,8,8,No
57,35,2,1142,1,23,4,3,75,3,0,30,3,1,2,1,1,16002,3,1,15,3,3,1,4,3,3,2,2,2,No
58,31,2,655,1,7,4,1,76,4,1,48,3,2,2,4,0,9528,3,0,22,4,4,1,10,3,2,7,7,7,No
59,37,2,1115,1,1,4,1,77,1,1,51,2,2,4,3,0,2689,1,0,18,3,3,1,7,2,4,7,5,7,No
60,32,2,427,1,1,3,3,78,1,1,33,3,2,4,4,1,10877,1,1,22,4,2,1,9,3,3,9,8,8,No
61,38,1,653,1,29,5,1,79,4,0,50,3,2,2,4,2,5456,1,0,11,3,4,0,10,2,3,10,3,9,No
62,50,2,989,1,7,2,3,80,2,0,43,2,5,5,3,0,16701,5,1,12,3,4,1,29,2,2,27,3,8,No
63,59,2,1435,2,25,3,1,81,1,0,99,3,3,7,1,2,2354,7,0,11,3,4,0,28,3,2,21,16,9,No
64,36,2,1223,1,8,3,5,83,3,0,59,3,3,0,3,0,8202,1,0,13,3,2,3,17,2,3,17,14,8,No
65,55,2,836,1,8,3,3,84,4,0,33,3,4,3,3,0,19730,2,1,14,3,3,3,21,2,3,5,0,2,No
66,36,1,1195,1,11,3,1,85,2,1,95,2,2,4,2,2,22656,1,0,13,3,3,0,6,3,3,6,5,3,No
67,45,2,1339,1,7,3,1,86,2,1,59,3,3,6,1,0,18787,2,0,17,3,3,1,25,2,3,1,0,0,No
68,35,1,664,1,1,3,3,88,2,1,79,3,1,6,1,1,5868,4,0,13,3,4,1,5,2,2,3,2,2,No
69,36,2,318,1,9,3,3,90,4,1,79,2,1,6,3,1,21777,0,1,17,3,1,1,2,0,2,1,0,0,Yes
70,59,1,1225,2,1,1,1,91,1,0,57,2,2,7,3,2,24668,7,0,11,3,4,0,20,2,2,4,3,3,No
71,29,2,1328,1,2,3,1,94,3,1,76,3,1,6,2,1,4956,0,0,23,4,4,1,6,3,3,5,4,4,No
72,31,2,1082,1,1,4,3,95,3,1,87,3,1,6,2,2,18775,1,0,17,3,2,0,1,4,3,1,1,0,No
73,32,2,548,1,1,3,1,96,2,1,66,3,2,6,2,1,7346,1,0,17,3,2,2,10,3,3,10,4,9,No
74,36,2,132,1,6,3,1,97,2,0,55,4,1,2,4,1,22002,3,0,12,3,2,0,5,3,3,1,0,0,No
75,31,2,746,1,8,4,1,98,3,0,61,3,2,4,4,2,20682,1,0,23,4,4,0,11,2,3,11,7,8,No
76,35,2,776,2,1,4,2,100,3,1,32,2,2,7,1,2,23016,0,0,14,3,2,0,16,2,3,15,13,8,No
77,45,2,193,1,6,4,4,101,4,1,52,3,3,5,1,1,15067,4,1,14,3,2,0,17,3,4,0,0,0,No
78,37,2,397,1,7,4,3,102,1,1,30,3,3,5,3,2,25258,4,0,13,3,1,0,16,3,4,5,2,2,No
79,46,2,945,0,5,2,3,103,2,1,80,3,2,1,2,0,10425,8,1,22,4,4,1,16,2,3,4,2,2,No
